,Index,Area,Item,Year,yield_value,avg_rainfall,pest_tonnes,avg_temp,year_range
0,0,Albania,Maize,1990,36613.0,1485,121.0,16.37,old
1,1,Albania,Potatoes,1990,66667.0,1485,121.0,16.37,old
2,2,Albania,"Rice, paddy",1990,23333.0,1485,121.0,16.37,old
3,3,Albania,Sorghum,1990,12500.0,1485,121.0,16.37,old
4,4,Albania,Soybeans,1990,7000.0,1485,121.0,16.37,old
5,5,Albania,Wheat,1990,30197.0,1485,121.0,16.37,old
6,6,Albania,Maize,1991,29068.0,1485,121.0,15.36,old
7,7,Albania,Potatoes,1991,77818.0,1485,121.0,15.36,old
8,8,Albania,"Rice, paddy",1991,28538.0,1485,121.0,15.36,old
9,9,Albania,Sorghum,1991,6667.0,1485,121.0,15.36,old
10,10,Albania,Soybeans,1991,6066.0,1485,121.0,15.36,old
11,11,Albania,Wheat,1991,20698.0,1485,121.0,15.36,old
12,12,Albania,Maize,1992,24876.0,1485,121.0,16.06,old
13,13,Albania,Potatoes,1992,82920.0,1485,121.0,16.06,old
14,14,Albania,"Rice, paddy",1992,40000.0,1485,121.0,16.06,old
15,15,Albania,Sorghum,1992,3747.0,1485,121.0,16.06,old
16,16,Albania,Soybeans,1992,4507.0,1485,121.0,16.06,old
17,17,Albania,Wheat,1992,24388.0,1485,121.0,16.06,old
18,18,Albania,Maize,1993,24185.0,1485,121.0,16.05,old
19,19,Albania,Potatoes,1993,98446.0,1485,121.0,16.05,old
20,20,Albania,"Rice, paddy",1993,41786.0,1485,121.0,16.05,old
21,21,Albania,Soybeans,1993,7998.0,1485,121.0,16.05,old
22,22,Albania,Wheat,1993,29976.0,1485,121.0,16.05,old
23,23,Albania,Maize,1994,25848.0,1485,201.0,16.96,old
24,24,Albania,Potatoes,1994,81404.0,1485,201.0,16.96,old
25,25,Albania,Soybeans,1994,7927.0,1485,201.0,16.96,old
26,26,Albania,Wheat,1994,24745.0,1485,201.0,16.96,old
27,27,Albania,Maize,1995,31300.0,1485,251.0,15.67,old
28,28,Albania,Potatoes,1995,111323.0,1485,251.0,15.67,old
29,29,Albania,Soybeans,1995,11791.0,1485,251.0,15.67,old
30,30,Albania,Wheat,1995,28703.0,1485,251.0,15.67,old
31,31,Albania,Maize,1996,32604.0,1485,313.96,15.64,old
32,32,Albania,Potatoes,1996,106138.0,1485,313.96,15.64,old
33,33,Albania,Soybeans,1996,15480.0,1485,313.96,15.64,old
34,34,Albania,Wheat,1996,21741.0,1485,313.96,15.64,old
35,35,Albania,Maize,1997,31862.0,1485,376.93,15.9,old
36,36,Albania,Potatoes,1997,109874.0,1485,376.93,15.9,old
37,37,Albania,Soybeans,1997,12768.0,1485,376.93,15.9,old
38,38,Albania,Wheat,1997,28516.0,1485,376.93,15.9,old
39,39,Albania,Maize,1998,33416.0,1485,439.89,16.27,old
40,40,Albania,Potatoes,1998,127212.0,1485,439.89,16.27,old
41,41,Albania,Soybeans,1998,14327.0,1485,439.89,16.27,old
42,42,Albania,Wheat,1998,28037.0,1485,439.89,16.27,old
43,43,Albania,Maize,1999,37455.0,1485,502.86,16.57,old
44,44,Albania,Potatoes,1999,142018.0,1485,502.86,16.57,old
45,45,Albania,Soybeans,1999,17143.0,1485,502.86,16.57,old
46,46,Albania,Wheat,1999,24954.0,1485,502.86,16.57,old
47,47,Albania,Maize,2000,38811.0,1485,565.82,16.67,old
48,48,Albania,Potatoes,2000,141228.0,1485,565.82,16.67,old
49,49,Albania,Soybeans,2000,15000.0,1485,565.82,16.67,old
50,50,Albania,Wheat,2000,30455.0,1485,565.82,16.67,old
51,51,Albania,Maize,2001,38135.0,1485,628.79,16.59,medium
52,52,Albania,Potatoes,2001,148818.0,1485,628.79,16.59,medium
53,53,Albania,Soybeans,2001,20000.0,1485,628.79,16.59,medium
54,54,Albania,Wheat,2001,28220.0,1485,628.79,16.59,medium
55,55,Albania,Maize,2002,39460.0,1485,691.75,16.47,medium
56,56,Albania,Potatoes,2002,153868.0,1485,691.75,16.47,medium
57,57,Albania,Soybeans,2002,20000.0,1485,691.75,16.47,medium
58,58,Albania,Wheat,2002,31617.0,1485,691.75,16.47,medium
59,59,Albania,Maize,2004,46197.0,1485,817.68,16.16,medium
60,60,Albania,Potatoes,2004,149346.0,1485,817.68,16.16,medium
61,61,Albania,Soybeans,2004,13333.0,1485,817.68,16.16,medium
62,62,Albania,Wheat,2004,31130.0,1485,817.68,16.16,medium
63,63,Albania,Maize,2005,45442.0,1485,880.64,15.67,medium
64,64,Albania,Potatoes,2005,167061.0,1485,880.64,15.67,medium
65,65,Albania,Soybeans,2005,17500.0,1485,880.64,15.67,medium
66,66,Albania,Wheat,2005,31582.0,1485,880.64,15.67,medium
67,67,Albania,Maize,2006,50111.0,1485,943.61,15.92,medium
68,68,Albania,Potatoes,2006,170745.0,1485,943.61,15.92,medium
69,69,Albania,Soybeans,2006,20000.0,1485,943.61,15.92,medium
70,70,Albania,Wheat,2006,30787.0,1485,943.61,15.92,medium
71,71,Albania,Maize,2007,46732.0,1485,1006.57,16.67,medium
72,72,Albania,Potatoes,2007,188902.0,1485,1006.57,16.67,medium
73,73,Albania,Soybeans,2007,20000.0,1485,1006.57,16.67,medium
74,74,Albania,Wheat,2007,35496.0,1485,1006.57,16.67,medium
75,75,Albania,Maize,2008,50000.0,1485,1069.54,16.71,medium
76,76,Albania,Potatoes,2008,193878.0,1485,1069.54,16.71,medium
77,77,Albania,Soybeans,2008,20000.0,1485,1069.54,16.71,medium
78,78,Albania,Wheat,2008,40168.0,1485,1069.54,16.71,medium
79,79,Albania,Maize,2009,55693.0,1485,1132.5,16.73,medium
80,80,Albania,Potatoes,2009,219780.0,1485,1132.5,16.73,medium
81,81,Albania,Soybeans,2009,16667.0,1485,1132.5,16.73,medium
82,82,Albania,Wheat,2009,40229.0,1485,1132.5,16.73,medium
83,83,Albania,Maize,2010,66790.0,1485,1311.17,16.52,medium
84,84,Albania,Potatoes,2010,39530.0,1485,1311.17,16.52,medium
85,85,Albania,Soybeans,2010,16667.0,1485,1311.17,16.52,medium
86,86,Albania,Wheat,2010,39905.0,1485,1311.17,16.52,medium
87,87,Albania,Maize,2011,59869.0,1485,1302.63,16.45,new
88,88,Albania,Potatoes,2011,39530.0,1485,1302.63,16.45,new
89,89,Albania,Soybeans,2011,18519.0,1485,1302.63,16.45,new
90,90,Albania,Wheat,2011,42301.0,1485,1302.63,16.45,new
91,91,Albania,Maize,2012,67290.0,1485,766.25,16.7,new
92,92,Albania,Potatoes,2012,39530.0,1485,766.25,16.7,new
93,93,Albania,Soybeans,2012,13333.0,1485,766.25,16.7,new
94,94,Albania,Wheat,2012,41096.0,1485,766.25,16.7,new
95,95,Albania,Maize,2013,69533.0,1485,982.32,17.41,new
96,96,Albania,Potatoes,2013,39530.0,1485,982.32,17.41,new
97,97,Albania,Soybeans,2013,10000.0,1485,982.32,17.41,new
98,98,Albania,Wheat,2013,41292.0,1485,982.32,17.41,new
99,99,Algeria,Maize,1990,16500.0,89,1828.92,17.48,old
100,100,Algeria,Potatoes,1990,78936.0,89,1828.92,17.48,old
101,101,Algeria,"Rice, paddy",1990,28000.0,89,1828.92,17.48,old
102,102,Algeria,Sorghum,1990,16571.0,89,1828.92,17.48,old
103,103,Algeria,Wheat,1990,6315.0,89,1828.92,17.48,old
104,104,Algeria,Maize,1991,19231.0,89,2461.8,16.26,old
105,105,Algeria,Potatoes,1991,90747.0,89,2461.8,16.26,old
106,106,Algeria,"Rice, paddy",1991,26786.0,89,2461.8,16.26,old
107,107,Algeria,Sorghum,1991,24231.0,89,2461.8,16.26,old
108,108,Algeria,Wheat,1991,10809.0,89,2461.8,16.26,old
109,109,Algeria,Maize,1992,22828.0,89,1215.47,16.27,old
110,110,Algeria,Potatoes,1992,107917.0,89,1215.47,16.27,old
111,111,Algeria,"Rice, paddy",1992,24733.0,89,1215.47,16.27,old
112,112,Algeria,Sorghum,1992,40000.0,89,1215.47,16.27,old
113,113,Algeria,Wheat,1992,9939.0,89,1215.47,16.27,old
114,114,Algeria,Maize,1993,12500.0,89,1021.89,17.0,old
115,115,Algeria,Potatoes,1993,111215.0,89,1021.89,17.0,old
116,116,Algeria,"Rice, paddy",1993,23111.0,89,1021.89,17.0,old
117,117,Algeria,Sorghum,1993,50000.0,89,1021.89,17.0,old
118,118,Algeria,Wheat,1993,8097.0,89,1021.89,17.0,old
119,119,Algeria,Maize,1994,4512.0,89,1255.02,17.88,old
120,120,Algeria,Potatoes,1994,95078.0,89,1255.02,17.88,old
121,121,Algeria,"Rice, paddy",1994,21374.0,89,1255.02,17.88,old
122,122,Algeria,Wheat,1994,7999.0,89,1255.02,17.88,old
123,123,Algeria,Maize,1995,16115.0,89,2697.09,17.36,old
124,124,Algeria,Potatoes,1995,136768.0,89,2697.09,17.36,old
125,125,Algeria,"Rice, paddy",1995,19598.0,89,2697.09,17.36,old
126,126,Algeria,Sorghum,1995,12667.0,89,2697.09,17.36,old
127,127,Algeria,Wheat,1995,8924.0,89,2697.09,17.36,old
128,128,Algeria,Maize,1996,17154.0,89,479.77,16.76,old
129,129,Algeria,Potatoes,1996,134629.0,89,479.77,16.76,old
130,130,Algeria,"Rice, paddy",1996,17861.0,89,479.77,16.76,old
131,131,Algeria,Sorghum,1996,14750.0,89,479.77,16.76,old
132,132,Algeria,Wheat,1996,13090.0,89,479.77,16.76,old
133,133,Algeria,Maize,1997,21417.0,89,401.22,17.84,old
134,134,Algeria,Potatoes,1997,141042.0,89,401.22,17.84,old
135,135,Algeria,"Rice, paddy",1997,15000.0,89,401.22,17.84,old
136,136,Algeria,Sorghum,1997,40000.0,89,401.22,17.84,old
137,137,Algeria,Wheat,1997,8016.0,89,401.22,17.84,old
138,138,Algeria,Maize,1998,17222.0,89,322.84,17.14,old
139,139,Algeria,Potatoes,1998,160256.0,89,322.84,17.14,old
140,140,Algeria,"Rice, paddy",1998,15000.0,89,322.84,17.14,old
141,141,Algeria,Sorghum,1998,24500.0,89,322.84,17.14,old
142,142,Algeria,Wheat,1998,8847.0,89,322.84,17.14,old
143,143,Algeria,Maize,1999,22375.0,89,654.45,17.97,old
144,144,Algeria,Potatoes,1999,153532.0,89,654.45,17.97,old
145,145,Algeria,"Rice, paddy",1999,13942.0,89,654.45,17.97,old
146,146,Algeria,Sorghum,1999,27000.0,89,654.45,17.97,old
147,147,Algeria,Wheat,1999,10711.0,89,654.45,17.97,old
148,148,Algeria,Maize,2000,36186.0,89,603.67,17.9,old
149,149,Algeria,Potatoes,2000,166143.0,89,603.67,17.9,old
150,150,Algeria,"Rice, paddy",2000,13052.0,89,603.67,17.9,old
151,151,Algeria,Sorghum,2000,69500.0,89,603.67,17.9,old
152,152,Algeria,Wheat,2000,9194.0,89,603.67,17.9,old
153,153,Algeria,Maize,2001,27175.0,89,710.11,18.13,medium
154,154,Algeria,Potatoes,2001,147018.0,89,710.11,18.13,medium
155,155,Algeria,"Rice, paddy",2001,12314.0,89,710.11,18.13,medium
156,156,Algeria,Sorghum,2001,27750.0,89,710.11,18.13,medium
157,157,Algeria,Wheat,2001,11104.0,89,710.11,18.13,medium
158,158,Algeria,Maize,2002,33480.0,89,816.55,17.85,medium
159,159,Algeria,Potatoes,2002,183774.0,89,816.55,17.85,medium
160,160,Algeria,"Rice, paddy",2002,12959.0,89,816.55,17.85,medium
161,161,Algeria,Sorghum,2002,33900.0,89,816.55,17.85,medium
162,162,Algeria,Wheat,2002,10739.0,89,816.55,17.85,medium
163,163,Algeria,Maize,2004,31729.0,89,3747.86,17.38,medium
164,164,Algeria,Potatoes,2004,203585.0,89,3747.86,17.38,medium
165,165,Algeria,"Rice, paddy",2004,12829.0,89,3747.86,17.38,medium
166,166,Algeria,Sorghum,2004,43316.0,89,3747.86,17.38,medium
167,167,Algeria,Wheat,2004,13582.0,89,3747.86,17.38,medium
168,168,Algeria,Maize,2005,33864.0,89,3662.87,17.19,medium
169,169,Algeria,Potatoes,2005,216267.0,89,3662.87,17.19,medium
170,170,Algeria,"Rice, paddy",2005,12998.0,89,3662.87,17.19,medium
171,171,Algeria,Sorghum,2005,33486.0,89,3662.87,17.19,medium
172,172,Algeria,Wheat,2005,15057.0,89,3662.87,17.19,medium
173,173,Algeria,Maize,2006,65668.0,89,4110.72,18.13,medium
174,174,Algeria,Potatoes,2006,220689.0,89,4110.72,18.13,medium
175,175,Algeria,"Rice, paddy",2006,12769.0,89,4110.72,18.13,medium
176,176,Algeria,Sorghum,2006,56728.0,89,4110.72,18.13,medium
177,177,Algeria,Wheat,2006,15068.0,89,4110.72,18.13,medium
178,178,Algeria,Maize,2007,85625.0,89,5390.79,17.42,medium
179,179,Algeria,Potatoes,2007,189927.0,89,5390.79,17.42,medium
180,180,Algeria,"Rice, paddy",2007,13375.0,89,5390.79,17.42,medium
181,181,Algeria,Sorghum,2007,119059.0,89,5390.79,17.42,medium
182,182,Algeria,Wheat,2007,12742.0,89,5390.79,17.42,medium
183,183,Algeria,Maize,2008,44714.0,89,11556.12,17.55,medium
184,184,Algeria,Potatoes,2008,39530.0,89,11556.12,17.55,medium
185,185,Algeria,"Rice, paddy",2008,13952.0,89,11556.12,17.55,medium
186,186,Algeria,Sorghum,2008,61786.0,89,11556.12,17.55,medium
187,187,Algeria,Wheat,2008,11038.0,89,11556.12,17.55,medium
188,188,Algeria,Maize,2009,30914.0,89,3867.99,17.78,medium
189,189,Algeria,Potatoes,2009,39530.0,89,3867.99,17.78,medium
190,190,Algeria,"Rice, paddy",2009,14594.0,89,3867.99,17.78,medium
191,191,Algeria,Sorghum,2009,90465.0,89,3867.99,17.78,medium
192,192,Algeria,Wheat,2009,15975.0,89,3867.99,17.78,medium
193,193,Algeria,Maize,2010,25827.0,89,1295.88,17.59,medium
194,194,Algeria,Potatoes,2010,39530.0,89,1295.88,17.59,medium
195,195,Algeria,"Rice, paddy",2010,15305.0,89,1295.88,17.59,medium
196,196,Algeria,Sorghum,2010,30286.0,89,1295.88,17.59,medium
197,197,Algeria,Wheat,2010,14838.0,89,1295.88,17.59,medium
198,198,Algeria,Maize,2011,23374.0,89,13861.76,17.79,new
199,199,Algeria,Potatoes,2011,39530.0,89,13861.76,17.79,new
200,200,Algeria,"Rice, paddy",2011,16081.0,89,13861.76,17.79,new
201,201,Algeria,Sorghum,2011,100000.0,89,13861.76,17.79,new
202,202,Algeria,Wheat,2011,17405.0,89,13861.76,17.79,new
203,203,Algeria,Maize,2012,25583.0,89,17379.76,17.91,new
204,204,Algeria,Potatoes,2012,39530.0,89,17379.76,17.91,new
205,205,Algeria,"Rice, paddy",2012,16667.0,89,17379.76,17.91,new
206,206,Algeria,Sorghum,2012,206000.0,89,17379.76,17.91,new
207,207,Algeria,Wheat,2012,17639.0,89,17379.76,17.91,new
208,208,Algeria,Maize,2013,33649.0,89,17278.65,17.65,new
209,209,Algeria,Potatoes,2013,39530.0,89,17278.65,17.65,new
210,210,Algeria,"Rice, paddy",2013,17778.0,89,17278.65,17.65,new
211,211,Algeria,Sorghum,2013,60000.0,89,17278.65,17.65,new
212,212,Algeria,Wheat,2013,19100.0,89,17278.65,17.65,new
213,213,Angola,Cassava,1990,41177.0,1010,64.0,24.12,old
214,214,Angola,Maize,1990,2736.0,1010,64.0,24.12,old
215,215,Angola,Potatoes,1990,40000.0,1010,64.0,24.12,old
216,216,Angola,"Rice, paddy",1990,9512.0,1010,64.0,24.12,old
217,217,Angola,Sweet potatoes,1990,89342.0,1010,64.0,24.12,old
218,218,Angola,Wheat,1990,7995.0,1010,64.0,24.12,old
219,219,Angola,Cassava,1991,40295.0,1010,79.0,24.02,old
220,220,Angola,Maize,1991,4013.0,1010,79.0,24.02,old
221,221,Angola,Potatoes,1991,40000.0,1010,79.0,24.02,old
222,222,Angola,"Rice, paddy",1991,10000.0,1010,79.0,24.02,old
223,223,Angola,Sweet potatoes,1991,83001.0,1010,79.0,24.02,old
224,224,Angola,Wheat,1991,8000.0,1010,79.0,24.02,old
225,225,Angola,Cassava,1992,42295.0,1010,23.0,23.96,old
226,226,Angola,Maize,1992,3778.0,1010,23.0,23.96,old
227,227,Angola,Potatoes,1992,40000.0,1010,23.0,23.96,old
228,228,Angola,"Rice, paddy",1992,9106.0,1010,23.0,23.96,old
229,229,Angola,Sweet potatoes,1992,90000.0,1010,23.0,23.96,old
230,230,Angola,Wheat,1992,8000.0,1010,23.0,23.96,old
231,231,Angola,Cassava,1993,42295.0,1010,169.0,24.15,old
232,232,Angola,Maize,1993,2627.0,1010,169.0,24.15,old
