index,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Year_range
0,Albania,Maize,1990,36613,1485,121,16.37,old
1,Albania,Potatoes,1990,66667,1485,121,16.37,old
2,Albania,"Rice, paddy",1990,23333,1485,121,16.37,old
3,Albania,Sorghum,1990,12500,1485,121,16.37,old
4,Albania,Soybeans,1990,7000,1485,121,16.37,old
5,Albania,Wheat,1990,30197,1485,121,16.37,old
6,Albania,Maize,1991,29068,1485,121,15.36,old
7,Albania,Potatoes,1991,77818,1485,121,15.36,old
8,Albania,"Rice, paddy",1991,28538,1485,121,15.36,old
9,Albania,Sorghum,1991,6667,1485,121,15.36,old
10,Albania,Soybeans,1991,6066,1485,121,15.36,old
11,Albania,Wheat,1991,20698,1485,121,15.36,old
12,Albania,Maize,1992,24876,1485,121,16.06,old
13,Albania,Potatoes,1992,82920,1485,121,16.06,old
14,Albania,"Rice, paddy",1992,40000,1485,121,16.06,old
15,Albania,Sorghum,1992,3747,1485,121,16.06,old
16,Albania,Soybeans,1992,4507,1485,121,16.06,old
17,Albania,Wheat,1992,24388,1485,121,16.06,old
18,Albania,Maize,1993,24185,1485,121,16.05,old
19,Albania,Potatoes,1993,98446,1485,121,16.05,old
20,Albania,"Rice, paddy",1993,41786,1485,121,16.05,old
21,Albania,Soybeans,1993,7998,1485,121,16.05,old
22,Albania,Wheat,1993,29976,1485,121,16.05,old
23,Albania,Maize,1994,25848,1485,201,16.96,old
24,Albania,Potatoes,1994,81404,1485,201,16.96,old
25,Albania,Soybeans,1994,7927,1485,201,16.96,old
26,Albania,Wheat,1994,24745,1485,201,16.96,old
27,Albania,Maize,1995,31300,1485,251,15.67,old
28,Albania,Potatoes,1995,111323,1485,251,15.67,old
29,Albania,Soybeans,1995,11791,1485,251,15.67,old
30,Albania,Wheat,1995,28703,1485,251,15.67,old
31,Albania,Maize,1996,32604,1485,313.96,15.64,old
32,Albania,Potatoes,1996,106138,1485,313.96,15.64,old
33,Albania,Soybeans,1996,15480,1485,313.96,15.64,old
34,Albania,Wheat,1996,21741,1485,313.96,15.64,old
35,Albania,Maize,1997,31862,1485,376.93,15.9,old
36,Albania,Potatoes,1997,109874,1485,376.93,15.9,old
37,Albania,Soybeans,1997,12768,1485,376.93,15.9,old
38,Albania,Wheat,1997,28516,1485,376.93,15.9,old
39,Albania,Maize,1998,33416,1485,439.89,16.27,old
40,Albania,Potatoes,1998,127212,1485,439.89,16.27,old
41,Albania,Soybeans,1998,14327,1485,439.89,16.27,old
42,Albania,Wheat,1998,28037,1485,439.89,16.27,old
43,Albania,Maize,1999,37455,1485,502.86,16.57,old
44,Albania,Potatoes,1999,142018,1485,502.86,16.57,old
45,Albania,Soybeans,1999,17143,1485,502.86,16.57,old
